CMU_1,,
"	p( <unk> | <s> ) 	= [OOV] 0 [ -inf ]",,
"	p( </s> | <unk> ...) 	= [1gram] 0.0173925 [ -1.759638 ]",,
1 sentences, 1 words, 1 OOVs
0 zeroprobs, logprob= -1.759638 ppl= 57.49604 ppl1= undefined,
,,
房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 大号 的 床 和 一 个 气垫 床 ；,,
"	p( 房间 | <s> ) 	= [2gram] 3.837116e-06 [ -5.415995 ]",,
"	p( ： | 房间 ...) 	= [2gram] 0.001348711 [ -2.870081 ]",,
"	p( 房间 | ： ...) 	= [2gram] 1.596247e-06 [ -5.7969 ]",,
"	p( 为 | 房间 ...) 	= [2gram] 0.003313844 [ -2.479668 ]",,
"	p( 三 | 为 ...) 	= [2gram] 0.001761078 [ -2.754221 ]",,
"	p( 层 | 三 ...) 	= [3gram] 0.08632846 [ -1.063846 ]",,
"	p( 一 | 层 ...) 	= [3gram] 0.000813838 [ -3.089462 ]",,
"	p( 整 | 一 ...) 	= [2gram] 6.686974e-08 [ -7.17477 ]",,
"	p( 层 | 整 ...) 	= [1gram] 3.121997e-05 [ -4.505568 ]",,
"	p( ， | 层 ...) 	= [2gram] 0.1828349 [ -0.7379408 ]",,
"	p( 由 | ， ...) 	= [3gram] 0.02008191 [ -1.697195 ]",,
"	p( 阁楼 | 由 ...) 	= [2gram] 5.541247e-07 [ -6.256392 ]",,
"	p( 装修 | 阁楼 ...) 	= [1gram] 1.670315e-06 [ -5.777202 ]",,
"	p( 而 | 装修 ...) 	= [2gram] 0.001321217 [ -2.879026 ]",,
"	p( 成 | 而 ...) 	= [2gram] 0.0259544 [ -1.585789 ]",,
"	p( ， | 成 ...) 	= [3gram] 0.3154428 [ -0.5010793 ]",,
"	p( 空间 | ， ...) 	= [2gram] 1.869704e-05 [ -4.728227 ]",,
"	p( 很大 | 空间 ...) 	= [2gram] 0.0002849184 [ -3.54528 ]",,
"	p( ， | 很大 ...) 	= [3gram] 0.5389567 [ -0.2684461 ]",,
"	p( 家具 | ， ...) 	= [2gram] 2.970404e-06 [ -5.527184 ]",,
"	p( 齐全 | 家具 ...) 	= [1gram] 5.894866e-07 [ -6.229526 ]",,
"	p( ， | 齐全 ...) 	= [2gram] 0.4263674 [ -0.370216 ]",,
"	p( 有 | ， ...) 	= [3gram] 0.04605259 [ -1.336746 ]",,
"	p( 一 | 有 ...) 	= [3gram] 0.04417159 [ -1.354857 ]",,
"	p( 张 | 一 ...) 	= [3gram] 0.007050275 [ -2.151794 ]",,
"	p( 大号 | 张 ...) 	= [2gram] 4.716137e-06 [ -5.326414 ]",,
"	p( 的 | 大号 ...) 	= [2gram] 0.1185185 [ -0.9262138 ]",,
"	p( 床 | 的 ...) 	= [2gram] 1.567729e-05 [ -4.804729 ]",,
"	p( 和 | 床 ...) 	= [3gram] 0.02028822 [ -1.692756 ]",,
"	p( 一 | 和 ...) 	= [2gram] 0.003662577 [ -2.436213 ]",,
"	p( 个 | 一 ...) 	= [2gram] 1.863723e-06 [ -5.729619 ]",,
"	p( 气垫 | 个 ...) 	= [2gram] 2.67073e-06 [ -5.57337 ]",,
"	p( 床 | 气垫 ...) 	= [1gram] 3.010616e-06 [ -5.521345 ]",,
"	p( ； | 床 ...) 	= [2gram] 0.006657787 [ -2.17667 ]",,
"	p( </s> | ； ...) 	= [2gram] 0.01269922 [ -1.896223 ]",,
1 sentences, 34 words, 0 OOVs
0 zeroprobs, logprob= -116.181 ppl= 2086.681 ppl1= 2612.686,
,,
CMU_2,,
"	p( <unk> | <s> ) 	= [OOV] 0 [ -inf ]",,
"	p( </s> | <unk> ...) 	= [1gram] 0.0173925 [ -1.759638 ]",,
1 sentences, 1 words, 1 OOVs
0 zeroprobs, logprob= -1.759638 ppl= 57.49604 ppl1= undefined,
,,
富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,,
"	p( 富人 | <s> ) 	= [2gram] 7.925051e-07 [ -6.100998 ]",,
"	p( 区 | 富人 ...) 	= [2gram] 0.04781993 [ -1.320391 ]",,
"	p( ， | 区 ...) 	= [3gram] 0.1725778 [ -0.7630151 ]",,
"	p( 非常 | ， ...) 	= [2gram] 3.371317e-05 [ -4.4722 ]",,
"	p( 安全 | 非常 ...) 	= [2gram] 0.0006226306 [ -3.20577 ]",,
"	p( （ | 安全 ...) 	= [2gram] 0.001718662 [ -2.76481 ]",,
"	p( 这里 | （ ...) 	= [2gram] 0.0001334512 [ -3.874677 ]",,
"	p( 属于 | 这里 ...) 	= [2gram] 0.0004019378 [ -3.395841 ]",,
"	p( 富人 | 属于 ...) 	= [1gram] 1.037103e-06 [ -5.984178 ]",,
"	p( 区 | 富人 ...) 	= [2gram] 0.04781993 [ -1.320391 ]",,
"	p( ） | 区 ...) 	= [2gram] 0.00904556 [ -2.043565 ]",,
"	p( ， | ） ...) 	= [3gram] 0.1863652 [ -0.7296352 ]",,
"	p( 旁边 | ， ...) 	= [3gram] 2.284019e-05 [ -4.6413 ]",,
"	p( 就 | 旁边 ...) 	= [2gram] 0.0002792002 [ -3.554084 ]",,
"	p( 是 | 就 ...) 	= [2gram] 0.005818299 [ -2.235204 ]",,
"	p( 公园 | 是 ...) 	= [2gram] 3.367026e-05 [ -4.472754 ]",,
"	p( ， | 公园 ...) 	= [3gram] 0.05564331 [ -1.254587 ]",,
"	p( 附近 | ， ...) 	= [3gram] 0.001732977 [ -2.761207 ]",,
"	p( 还有 | 附近 ...) 	= [3gram] 0.03778679 [ -1.42266 ]",,
"	p( 配套 | 还有 ...) 	= [2gram] 9.878248e-05 [ -4.00532 ]",,
"	p( 的 | 配套 ...) 	= [3gram] 0.4767733 [ -0.3216881 ]",,
"	p( 各 | 的 ...) 	= [2gram] 0.0002048589 [ -3.688545 ]",,
"	p( 种 | 各 ...) 	= [2gram] 5.807267e-05 [ -4.236028 ]",,
"	p( 球场 | 种 ...) 	= [2gram] 1.307919e-06 [ -5.883419 ]",,
"	p( 和 | 球场 ...) 	= [2gram] 0.008166594 [ -2.087959 ]",,
"	p( 社区 | 和 ...) 	= [2gram] 0.000180591 [ -3.743304 ]",,
"	p( 设施 | 社区 ...) 	= [1gram] 1.515768e-05 [ -4.819367 ]",,
"	p( ， | 设施 ...) 	= [2gram] 0.2127921 [ -0.6720446 ]",,
"	p( 环境 | ， ...) 	= [2gram] 1.895413e-05 [ -4.722296 ]",,
"	p( 很 | 环境 ...) 	= [2gram] 0.0003034108 [ -3.517969 ]",,
"	p( 好 | 很 ...) 	= [2gram] 0.000253791 [ -3.595524 ]",,
"	p( 很 | 好 ...) 	= [2gram] 6.390935e-06 [ -5.194436 ]",,
"	p( 安静 | 很 ...) 	= [2gram] 0.0005513113 [ -3.258603 ]",,
"	p( 。 | 安静 ...) 	= [3gram] 0.1391084 [ -0.8566467 ]",,
"	p( </s> | 。 ...) 	= [3gram] 0.2280702 [ -0.6419315 ]",,
1 sentences, 34 words, 0 OOVs
0 zeroprobs, logprob= -107.5623 ppl= 1183.614 ppl1= 1457.466,
,,
CMU_4,,
"	p( <unk> | <s> ) 	= [OOV] 0 [ -inf ]",,
"	p( </s> | <unk> ...) 	= [1gram] 0.0173925 [ -1.759638 ]",,
1 sentences, 1 words, 1 OOVs
0 zeroprobs, logprob= -1.759638 ppl= 57.49604 ppl1= undefined,
,,
租约 从 八月 开始 ， 具体 日期 可以 商量 。,,
"	p( 租约 | <s> ) 	= [2gram] 2.970071e-07 [ -6.527233 ]",,
"	p( 从 | 租约 ...) 	= [1gram] 0.000225437 [ -3.646975 ]",,
"	p( 八月 | 从 ...) 	= [2gram] 6.410958e-05 [ -4.193077 ]",,
"	p( 开始 | 八月 ...) 	= [3gram] 0.06699386 [ -1.173965 ]",,
"	p( ， | 开始 ...) 	= [3gram] 0.2694783 [ -0.5694761 ]",,
"	p( 具体 | ， ...) 	= [2gram] 6.876252e-05 [ -4.162648 ]",,
"	p( 日期 | 具体 ...) 	= [3gram] 0.01043338 [ -1.981575 ]",,
