CONTROL_1,bad,time,现在是二点五十分下午11月9日2005年。
CONTROL_2,bad,time,刚才是七点二十分上午5月3日2016年。
CONTROL_3,bad,time,现在是五点十分下午2月20日2015年。
CONTROL_4,bad,time,现在是九点四十五分上午11月2日2019年。
CONTROL_5,bad,space,205室二单元三栋天天小区天宏街20号天河区深圳市广东省
CONTROL_6,bad,space,501办公室数学系科学院中南大学求学路10号学园区长沙市湖南省
CONTROL_7,bad,space,301室一单元六栋幸福家园天明路9号燕山区南京市江苏省
CONTROL_8,bad,space,150办公室物理系科学院民族大学友谊路1号江夏区武汉市湖北省
CONTROL_9,bad,classifier,希望是工作室，或是一棵卧室。,code-switch,PSU_1550
CONTROL_10,bad,classifier,具体户型可参考如下图片中的两朵卧室的常规。,code-switch,PSU_403
CONTROL_11,bad,classifier,一条露天购物经历。,code-switch,CMU_76
CONTROL_12,bad,classifier,整杯房子家具齐全。,code-switch,CMU_9
CONTROL_13,good,chinese_textbook,为什么你今天迟到？
CONTROL_14,good,chinese_textbook,洁希想在中国教英文。
CONTROL_15,good,chinese_textbook,美国在大城市的生活费比小镇的高。
CONTROL_16,good,chinese_textbook,他是第一个学中文的美国人。
CONTROL_17,good,chinese_textbook,你上大学吗？
CONTROL_18,good,chinese_textbook,我是研究生。
CONTROL_19,good,chinese_textbook,你们有很多考试吗？
CONTROL_20,good,chinese_textbook,你对这里很熟悉吗？
CONTROL_21,good,chinese_textbook,餐馆的午餐有很多不同的菜。
CONTROL_22,good,chinese_textbook,他给了我一本书。
CONTROL_23,good,chinese_textbook,我要住在学校附件。
CONTROL_24,good,chinese_textbook,你会烧中国菜吗？
